Nutrient,Day,Rep,Community,OD,S0
LN,0,1,C1,0.231299996,3
LN,0,2,C1,0.231299996,3
LN,0,3,C1,0.231299996,3
LN,1,1,C1,0.3134,3
LN,1,2,C1,0.301499993,3
LN,1,3,C1,0.302100003,3
LN,2,1,C1,0.2989,3
LN,2,2,C1,0.2942,3
LN,2,3,C1,0.3092,3
LN,3,1,C1,0.3204,3
LN,3,2,C1,0.301400006,3
LN,3,3,C1,0.316000015,3
LN,4,1,C1,0.294499993,3
LN,4,2,C1,0.311399996,3
LN,4,3,C1,0.301499993,3
LN,5,1,C1,0.309199989,3
LN,5,2,C1,0.367300004,3
LN,5,3,C1,0.326599985,3
LN,6,1,C1,0.237299994,3
LN,6,2,C1,0.247999996,3
LN,6,3,C1,0.310799986,3
LN,7,1,C1,0.270799994,3
LN,7,2,C1,0.282099992,3
LN,7,3,C1,0.324000001,3
LN,8,1,C1,0.247500002,3
LN,8,2,C1,0.253500015,3
LN,8,3,C1,0.265700012,3
LN,9,1,C1,0.246700004,3
LN,9,2,C1,0.261999995,3
LN,9,3,C1,0.30219999,3
LN,10,1,C1,0.242500007,3
LN,10,2,C1,0.263500005,3
LN,10,3,C1,0.241799995,3
LN,0,1,C2,0.271299988,3
LN,0,2,C2,0.271299988,3
LN,0,3,C2,0.271299988,3
LN,1,1,C2,0.31400001,3
LN,1,2,C2,0.338800013,3
LN,1,3,C2,0.3116,3
LN,2,1,C2,0.3354,3
LN,2,2,C2,0.3026,3
LN,2,3,C2,0.2906,3
LN,3,1,C2,0.314599991,3
LN,3,2,C2,0.333499998,3
LN,3,3,C2,0.331900001,3
LN,4,1,C2,0.315400004,3
LN,4,2,C2,0.314900011,3
LN,4,3,C2,0.317600012,3
LN,5,1,C2,0.301099986,3
LN,5,2,C2,0.32980001,3
LN,5,3,C2,0.34009999,3
LN,6,1,C2,0.338,3
LN,6,2,C2,0.33160001,3
LN,6,3,C2,0.333700001,3
LN,7,1,C2,0.319400012,3
LN,7,2,C2,0.321399987,3
LN,7,3,C2,0.335399985,3
LN,8,1,C2,0.344199985,3
LN,8,2,C2,0.317400008,3
LN,8,3,C2,0.326700002,3
LN,9,1,C2,0.296700001,3
LN,9,2,C2,0.317499995,3
LN,9,3,C2,0.320800006,3
LN,10,1,C2,0.339300007,3
LN,10,2,C2,0.337000012,3
LN,10,3,C2,0.322899997,3
LN,0,1,C3,0.248799995,3
LN,0,2,C3,0.248799995,3
LN,0,3,C3,0.248799995,3
LN,1,1,C3,0.254099995,3
LN,1,2,C3,0.26879999,3
LN,1,3,C3,0.272300005,3
LN,2,1,C3,0.2513,3
LN,2,2,C3,0.2783,3
LN,2,3,C3,0.2791,3
LN,3,1,C3,0.267500013,3
LN,3,2,C3,0.257099986,3
LN,3,3,C3,0.265700012,3
LN,4,1,C3,0.28459999,3
LN,4,2,C3,0.291900009,3
LN,4,3,C3,0.281300008,3
LN,5,1,C3,0.263099998,3
LN,5,2,C3,0.268599987,3
LN,5,3,C3,0.284799993,3
LN,6,1,C3,0.219799995,3
LN,6,2,C3,0.248600006,3
LN,6,3,C3,0.234699994,3
LN,7,1,C3,0.253699988,3
LN,7,2,C3,0.266099989,3
LN,7,3,C3,0.271499991,3
LN,8,1,C3,0.25029999,3
LN,8,2,C3,0.262699991,3
LN,8,3,C3,0.26789999,3
LN,9,1,C3,0.242599994,3
LN,9,2,C3,0.260899991,3
LN,9,3,C3,0.262400001,3
LN,10,1,C3,0.263000011,3
LN,10,2,C3,0.261799991,3
LN,10,3,C3,0.281199992,3
LN,0,1,C4,0.275999993,3
LN,0,2,C4,0.275999993,3
LN,0,3,C4,0.275999993,3
LN,1,1,C4,0.390700012,3
LN,1,2,C4,0.385199994,3
LN,1,3,C4,0.397700012,3
LN,2,1,C4,0.3875,3
LN,2,2,C4,0.3864,3
LN,2,3,C4,0.3969,3
LN,3,1,C4,0.394600004,3
LN,3,2,C4,0.399100006,3
LN,3,3,C4,0.397500008,3
LN,4,1,C4,0.388099998,3
LN,4,2,C4,0.394800007,3
LN,4,3,C4,0.400000006,3
LN,5,1,C4,0.3847,3
LN,5,2,C4,0.356099993,3
LN,5,3,C4,0.337099999,3
LN,6,1,C4,0.372500002,3
LN,6,2,C4,0.369800001,3
LN,6,3,C4,0.354799986,3
LN,7,1,C4,0.376399994,3
LN,7,2,C4,0.332700014,3
LN,7,3,C4,0.351300001,3
LN,8,1,C4,0.377799988,3
LN,8,2,C4,0.371100008,3
LN,8,3,C4,0.393400013,3
LN,9,1,C4,0.371199995,3
LN,9,2,C4,0.361000001,3
LN,9,3,C4,0.37349999,3
LN,10,1,C4,0.376399994,3
LN,10,2,C4,0.342500001,3
LN,10,3,C4,0.381000012,3
LN,0,1,C5,0.205699995,3
LN,0,2,C5,0.205699995,3
LN,0,3,C5,0.205699995,3
LN,1,1,C5,0.294499993,3
LN,1,2,C5,0.297399998,3
LN,1,3,C5,0.2958,3
LN,2,1,C5,0.2889,3
LN,2,2,C5,0.2824,3
LN,2,3,C5,0.2677,3
LN,3,1,C5,0.281800002,3
LN,3,2,C5,0.282900006,3
LN,3,3,C5,0.293799996,3
LN,4,1,C5,0.255600005,3
LN,4,2,C5,0.258300006,3
LN,4,3,C5,0.30250001,3
LN,5,1,C5,0.244499996,3
LN,5,2,C5,0.243599996,3
LN,5,3,C5,0.240099996,3
LN,6,1,C5,0.273999989,3
LN,6,2,C5,0.312299997,3
LN,6,3,C5,0.312299997,3
LN,7,1,C5,0.267800003,3
LN,7,2,C5,0.31220001,3
LN,7,3,C5,0.26820001,3
LN,8,1,C5,0.280400008,3
LN,8,2,C5,0.27610001,3
LN,8,3,C5,0.268999994,3
LN,9,1,C5,0.282599986,3
LN,9,2,C5,0.269400001,3
LN,9,3,C5,0.281899989,3
LN,10,1,C5,0.280000001,3
LN,10,2,C5,0.282900006,3
LN,10,3,C5,0.292499989,3
LN,0,1,C6,0.283699989,3
LN,0,2,C6,0.283699989,3
LN,0,3,C6,0.283699989,3
LN,1,1,C6,0.432300001,3
LN,1,2,C6,0.405400008,3
LN,1,3,C6,0.465200007,3
LN,2,1,C6,0.4656,3
LN,2,2,C6,0.4717,3
LN,2,3,C6,0.474,3
LN,3,1,C6,0.458299994,3
LN,3,2,C6,0.471799999,3
LN,3,3,C6,0.467599988,3
LN,4,1,C6,0.466600001,3
LN,4,2,C6,0.401499987,3
LN,4,3,C6,0.479299992,3
LN,5,1,C6,0.440299988,3
LN,5,2,C6,0.452699989,3
LN,5,3,C6,0.434100002,3
LN,6,1,C6,0.402999997,3
LN,6,2,C6,0.319499999,3
LN,6,3,C6,0.401600003,3
LN,7,1,C6,0.38499999,3
LN,7,2,C6,0.340900004,3
LN,7,3,C6,0.339700013,3
LN,8,1,C6,0.386500001,3
LN,8,2,C6,0.385600001,3
LN,8,3,C6,0.401600003,3
LN,9,1,C6,0.354000002,3
LN,9,2,C6,0.314999998,3
LN,9,3,C6,0.339399993,3
LN,10,1,C6,0.361200005,3
LN,10,2,C6,0.360700011,3
LN,10,3,C6,0.381399989,3
LN,0,1,C7,0.207300007,3
LN,0,2,C7,0.207300007,3
LN,0,3,C7,0.207300007,3
LN,1,1,C7,0.291900009,3
LN,1,2,C7,0.290100008,3
LN,1,3,C7,0.296299994,3
LN,2,1,C7,0.2782,3
LN,2,2,C7,0.2819,3
LN,2,3,C7,0.2843,3
LN,3,1,C7,0.26820001,3
LN,3,2,C7,0.267699987,3
LN,3,3,C7,0.269400001,3
LN,4,1,C7,0.2764,3
LN,4,2,C7,0.275099993,3
LN,4,3,C7,0.287900001,3
LN,5,1,C7,0.239199996,3
LN,5,2,C7,0.242300004,3
LN,5,3,C7,0.272399992,3
LN,6,1,C7,0.28459999,3
LN,6,2,C7,0.281800002,3
LN,6,3,C7,0.289099991,3
LN,7,1,C7,0.244000003,3
LN,7,2,C7,0.241899997,3
LN,7,3,C7,0.245499998,3
LN,8,1,C7,0.2447,3
LN,8,2,C7,0.250400007,3
LN,8,3,C7,0.25819999,3
LN,9,1,C7,0.238999993,3
LN,9,2,C7,0.242799997,3
LN,9,3,C7,0.241600007,3
LN,10,1,C7,0.247400001,3
LN,10,2,C7,0.252000004,3
LN,10,3,C7,0.254000008,3
LN,0,1,C8,0.183799997,3
LN,0,2,C8,0.183799997,3
LN,0,3,C8,0.183799997,3
LN,1,1,C8,0.252799988,3
LN,1,2,C8,0.257800013,3
LN,1,3,C8,0.263799995,3
LN,2,1,C8,0.2571,3
LN,2,2,C8,0.2712,3
LN,2,3,C8,0.2589,3
LN,3,1,C8,0.270900011,3
LN,3,2,C8,0.255299985,3
LN,3,3,C8,0.250499994,3
LN,4,1,C8,0.26730001,3
LN,4,2,C8,0.281699985,3
LN,4,3,C8,0.263799995,3
LN,5,1,C8,0.272399992,3
LN,5,2,C8,0.263799995,3
LN,5,3,C8,0.254999995,3
LN,6,1,C8,0.231099993,3
LN,6,2,C8,0.296099991,3
LN,6,3,C8,0.253800005,3
LN,7,1,C8,0.26030001,3
LN,7,2,C8,0.297100008,3
LN,7,3,C8,0.215800002,3
LN,8,1,C8,0.272300005,3
LN,8,2,C8,0.307000011,3
LN,8,3,C8,0.239500001,3
LN,9,1,C8,0.270999998,3
LN,9,2,C8,0.3028,3
LN,9,3,C8,0.236000001,3
LN,10,1,C8,0.276600003,3
LN,10,2,C8,0.306100011,3
LN,10,3,C8,0.271100014,3
LN,0,1,C1,0.241500005,6
LN,0,2,C1,0.241500005,6
LN,0,3,C1,0.241500005,6
LN,1,1,C1,0.419499993,6
LN,1,2,C1,0.406399995,6
LN,1,3,C1,0.414099991,6
LN,2,1,C1,0.3746,6
