ID,Community,Day,Rep,S0,Nutrient 
M 1,C8,0,1,3,LN
M 2,C8,1,1,3,LN
M 3,C8,2,1,3,LN
M 4,C8,3,1,3,LN
M 5,C8,4,1,3,LN
M 6,C8,5,1,3,LN
M 7,C8,6,1,3,LN
M 8,C8,7,1,3,LN
M 9,C8,8,1,3,LN
M 10,C8,9,1,3,LN
M 11,C8,10,1,3,LN
M 12,C7,0,1,3,LN
M 13,C7,1,1,3,LN
M 14,C7,2,1,3,LN
M 15,C7,3,1,3,LN
M 16,C7,4,1,3,LN
M 17,C7,5,1,3,LN
M 18,C7,6,1,3,LN
M 19,C7,7,1,3,LN
M 20,C7,8,1,3,LN
M 21,C7,9,1,3,LN
M 22,C7,10,1,3,LN
M 23,C6,0,1,3,LN
M 24,C6,1,1,3,LN
M 25,C6,2,1,3,LN
M 26,C6,3,1,3,LN
M 27,C6,4,1,3,LN
M 28,C6,5,1,3,LN
M 29,C6,6,1,3,LN
M 30,C6,7,1,3,LN
M 31,C6,8,1,3,LN
M 32,C6,9,1,3,LN
M 33,C6,10,1,3,LN
M 34,C5,0,1,3,LN
M 35,C5,1,1,3,LN
M 36,C5,2,1,3,LN
M 37,C5,3,1,3,LN
M 38,C5,4,1,3,LN
M 39,C5,5,1,3,LN
M 40,C5,6,1,3,LN
M 41,C5,7,1,3,LN
M 42,C5,8,1,3,LN
M 43,C5,9,1,3,LN
M 44,C5,10,1,3,LN
M 45,C4,0,1,3,LN
M 46,C4,1,1,3,LN
M 47,C4,2,1,3,LN
M 48,C4,3,1,3,LN
M 49,C4,4,1,3,LN
M 50,C4,5,1,3,LN
M 51,C4,6,1,3,LN
M 52,C4,7,1,3,LN
M 53,C4,8,1,3,LN
M 54,C4,9,1,3,LN
M 55,C4,10,1,3,LN
M 56,C3,0,1,3,LN
M 57,C3,1,1,3,LN
M 58,C3,2,1,3,LN
M 59,C3,3,1,3,LN
M 60,C3,4,1,3,LN
M 61,C3,5,1,3,LN
M 62,C3,6,1,3,LN
M 63,C3,7,1,3,LN
M 64,C3,8,1,3,LN
M 65,C3,9,1,3,LN
M 66,C3,10,1,3,LN
M 67,C2,0,1,3,LN
M 68,C2,1,1,3,LN
M 69,C2,2,1,3,LN
M 70,C2,3,1,3,LN
M 71,C2,4,1,3,LN
M 72,C2,5,1,3,LN
M 73,C2,6,1,3,LN
M 74,C2,7,1,3,LN
M 75,C2,8,1,3,LN
M 76,C2,9,1,3,LN
M 77,C2,10,1,3,LN
M 78,C1,0,1,3,LN
M 79,C1,1,1,3,LN
M 80,C1,2,1,3,LN
M 81,C1,3,1,3,LN
M 82,C1,4,1,3,LN
M 83,C1,5,1,3,LN
M 84,C1,6,1,3,LN
M 85,C1,7,1,3,LN
M 86,C1,8,1,3,LN
M 87,C1,9,1,3,LN
M 88,C1,10,1,3,LN
M 89,C8,0,1,6,LN
M 90,C8,1,1,6,LN
M 91,C8,2,1,6,LN
M 92,C8,3,1,6,LN
M 93,C8,4,1,6,LN
M 94,C8,5,1,6,LN
M 95,C8,6,1,6,LN
M 96,C8,7,1,6,LN
M 97,C8,8,1,6,LN
M 98,C8,9,1,6,LN
M 99,C8,10,1,6,LN
M 100,C7,0,1,6,LN
M 101,C7,1,1,6,LN
M 102,C7,2,1,6,LN
M 103,C7,3,1,6,LN
M 104,C7,4,1,6,LN
M 105,C7,5,1,6,LN
M 106,C7,6,1,6,LN
M 107,C7,7,1,6,LN
M 108,C7,8,1,6,LN
M 109,C7,9,1,6,LN
M 110,C7,10,1,6,LN
M 111,C6,0,1,6,LN
M 112,C6,1,1,6,LN
M 113,C6,2,1,6,LN
M 114,C6,3,1,6,LN
M 115,C6,4,1,6,LN
M 116,C6,5,1,6,LN
M 117,C6,6,1,6,LN
M 118,C6,7,1,6,LN
M 119,C6,8,1,6,LN
M 120,C6,9,1,6,LN
M 121,C6,10,1,6,LN
M 122,C5,0,1,6,LN
M 123,C5,1,1,6,LN
M 124,C5,2,1,6,LN
M 125,C5,3,1,6,LN
M 126,C5,4,1,6,LN
M 127,C5,5,1,6,LN
M 128,C5,6,1,6,LN
M 129,C5,7,1,6,LN
M 130,C5,8,1,6,LN
M 131,C5,9,1,6,LN
M 132,C5,10,1,6,LN
M 133,C4,0,1,6,LN
M 134,C4,1,1,6,LN
M 135,C4,2,1,6,LN
M 136,C4,3,1,6,LN
M 137,C4,4,1,6,LN
M 138,C4,5,1,6,LN
M 139,C4,6,1,6,LN
M 140,C4,7,1,6,LN
M 141,C4,8,1,6,LN
M 142,C4,9,1,6,LN
M 143,C4,10,1,6,LN
M 144,C3,0,1,6,LN
M 145,C3,1,1,6,LN
M 146,C3,2,1,6,LN
M 147,C3,3,1,6,LN
M 148,C3,4,1,6,LN
M 149,C3,5,1,6,LN
M 150,C3,6,1,6,LN
M 151,C3,7,1,6,LN
M 152,C3,8,1,6,LN
M 153,C3,9,1,6,LN
M 154,C3,10,1,6,LN
M 155,C2,0,1,6,LN
M 156,C2,1,1,6,LN
M 157,C2,2,1,6,LN
M 158,C2,3,1,6,LN
M 159,C2,4,1,6,LN
M 160,C2,5,1,6,LN
M 161,C2,6,1,6,LN
M 162,C2,7,1,6,LN
M 163,C2,8,1,6,LN
M 164,C2,9,1,6,LN
M 165,C2,10,1,6,LN
M 166,C1,0,1,6,LN
M 167,C1,1,1,6,LN
M 168,C1,2,1,6,LN
M 169,C1,3,1,6,LN
M 170,C1,4,1,6,LN
M 171,C1,5,1,6,LN
M 172,C1,6,1,6,LN
M 173,C1,7,1,6,LN
M 174,C1,8,1,6,LN
M 175,C1,9,1,6,LN
M 176,C1,10,1,6,LN
M 177,C8,0,1,12,LN
M 178,C8,1,1,12,LN
M 179,C8,2,1,12,LN
M 180,C8,3,1,12,LN
M 181,C8,4,1,12,LN
M 182,C8,5,1,12,LN
M 183,C8,6,1,12,LN
M 184,C8,7,1,12,LN
M 185,C8,8,1,12,LN
M 186,C8,9,1,12,LN
M 187,C8,10,1,12,LN
M 188,C7,0,1,12,LN
M 189,C7,1,1,12,LN
M 190,C7,2,1,12,LN
M 191,C7,3,1,12,LN
M 192,C7,4,1,12,LN
M 193,C7,5,1,12,LN
M 194,C7,6,1,12,LN
M 195,C7,7,1,12,LN
M 196,C7,8,1,12,LN
M 197,C7,9,1,12,LN
M 198,C7,10,1,12,LN
M 199,C6,0,1,12,LN
M 200,C6,1,1,12,LN
M 201,C6,2,1,12,LN
M 202,C6,3,1,12,LN
M 203,C6,4,1,12,LN
M 204,C6,5,1,12,LN
M 205,C6,6,1,12,LN
M 206,C6,7,1,12,LN
M 207,C6,8,1,12,LN
M 208,C6,9,1,12,LN
M 209,C6,10,1,12,LN
M 210,C5,0,1,12,LN
M 211,C5,1,1,12,LN
M 212,C5,2,1,12,LN
M 213,C5,3,1,12,LN
